0,1,2
0,2,2
0,3,2
2,8,2
3,4,2
0,6,2
3,6,2
3,9,2
4,5,2
1,2,2
4,7,2
1,4,2
4,9,2
5,8,2
1,7,2
5,9,2
6,7,2
2,3,2
6,8,2
2,5,2
7,8,2
8,9,2
0,4,3
0,7,3
0,8,3
1,3,3
1,5,3
1,6,3
1,8,3
2,6,3
5,6,3
5,7,3
3,5,3
2,9,3
4,6,3
6,9,3
7,9,3
0,5,4
0,9,4
1,9,4
2,4,4
2,7,4
3,7,4
4,8,4
3,8,4
